Teamzuppi,97,515,1,,,,,,,Nomi ,,,1
Necca,96,515,1,,,,,,,,,,2
Mary__ac,98,515,1,,,,,,,,,,3
Cris.tano,70,510,2,,,,,,,,francesco,,4
Elena ,85,510,2,,,,,,,,,,5
acaciotta,98,505,3,,,,,,,,,,6
lapapessa334,97,505,3,,,,,,,,,,7
PapaLino,74,505,3,,,,,,,,,,8
papa v,85,500,4,,,,,,,,,,9
Habemus Eka ,89,500,4,,,,,,,,,,10
Orlandi83,96,500,4,,,,,,,,,,11
Marili,86,495,5,,,,,,,,,,12
Nico,87,495,5,,,,,,,,,,13
LCG,96,485,6,,,,,,,,,,14
Larosacremisi,97,480,7,,,,,,,,,,15
Francis90,86,480,7,,,,,,,,,,16
lascomunicata,99,480,7,,,,,,,,,,17
Yas365,90,480,7,,,,,,,,,,18
Logatto,75,480,7,,,,,,,,,,19
Voglio Zuppi,86,475,8,,,,,,,,,,20
becky.,92,475,8,,,,,,,,,,21
Anima_pia,93,475,8,,,,,,,,,,22
La Curia dei Campioni,75,475,8,,,,,,,,,,23
Fanta Bolla Papale,99,470,9,,,,,,,,,,24
HitPope,97,470,9,,,,,,,,,,25
MegliodiFrancescoNonSiPuó,85,465,10,,,,,,,,,,26
Dede,89,465,10,,,,,,,,,,27
CDRsceglieIlPapa,85,460,11,,,,,,,,,,28
IncappucciatiAnonimi,95,460,11,,,,,,,,,,29
Amarena,74,450,12,,,,,,,,,,30
Jenni Airlines ,79,450,12,,,,,,,,,,31
Lauracardinale,84,450,12,,,,,,,,,,32
Chicco,74,450,12,,,,,,,,,,
Bibax,78,450,12,,,,,,,,,,
Alala,86,450,12,,,,,,,,,,
Bresciani Marco,93,450,12,,,,,,,,,,
I Fantapapi,87,450,12,,,,,,,,,,
Lully,97,450,12,,,,,,,,,,
Zuppichan,96,450,12,,,,,,,,,,
simone.aprea,88,445,13,,,,,,,,,,
Santa Marta ,95,445,13,,,,,,,,,,
fettabiscottata_6,87,445,13,,,,,,,,,,
papamobile,84,445,13,,,,,,,,,,
103esimopapa,76,440,14,,,,,,,,,,
sottobosco,96,440,14,,,,,,,,,,
